Accession	host_sci_name	gb_pubmed_id	Segment	strain	gb_length	patent_related	m49_country
MK117911	Homo sapiens	-	L	-	7252	-	NGA
MK117912	Homo sapiens	-	L	-	7243	-	NGA
MK117913	Homo sapiens	-	L	-	7135	-	NGA
MK117914	Homo sapiens	-	L	-	6924	-	NGA
MK117915	Homo sapiens	-	L	-	7250	-	NGA
MK117916	Homo sapiens	-	L	-	7260	-	NGA
MK117917	Homo sapiens	-	L	-	7208	-	NGA
MK117918	Homo sapiens	-	L	-	7252	-	NGA
MK117919	Homo sapiens	-	L	-	7110	-	NGA
MK117920	Homo sapiens	-	L	-	7255	-	NGA
MK117921	Homo sapiens	-	L	-	7208	-	NGA
MK117922	Homo sapiens	-	L	-	7245	-	NGA
MK117923	Homo sapiens	-	L	-	7103	-	NGA
MK117924	Homo sapiens	-	L	-	7148	-	NGA
MK117925	Homo sapiens	-	L	-	7086	-	NGA
MK117926	Homo sapiens	-	L	-	7188	-	NGA
MK117927	Homo sapiens	-	L	-	7042	-	NGA
MK117928	Homo sapiens	-	L	-	7250	-	NGA
MK117929	Homo sapiens	-	L	-	7237	-	NGA
MK117930	Homo sapiens	-	L	-	7258	-	NGA
MK117931	Homo sapiens	-	L	-	7234	-	NGA
MK117932	Homo sapiens	-	L	-	7136	-	NGA
MK117933	Homo sapiens	-	L	-	7241	-	NGA
MK117934	Homo sapiens	-	L	-	7217	-	NGA
MK117935	Homo sapiens	-	L	-	7219	-	NGA
MK117936	Homo sapiens	-	L	-	7259	-	NGA
MK117937	Homo sapiens	-	L	-	7181	-	NGA
MK117938	Homo sapiens	-	L	-	7212	-	NGA
MK117939	Homo sapiens	-	L	-	7258	-	NGA
MK117940	Homo sapiens	-	L	-	7258	-	NGA
MK117941	Homo sapiens	-	L	-	7241	-	NGA
MK117942	Homo sapiens	-	L	-	7229	-	NGA
MK117943	Homo sapiens	-	L	-	7238	-	NGA
MK117944	Homo sapiens	-	L	-	6938	-	NGA
MK117945	Homo sapiens	-	L	-	7234	-	NGA
MK117946	Homo sapiens	-	L	-	7224	-	NGA
MK117947	Homo sapiens	-	L	-	6687	-	NGA
MK117948	Homo sapiens	-	S	-	3091	-	NGA
MK117949	Homo sapiens	-	S	-	3375	-	NGA
MK117950	Homo sapiens	-	S	-	3245	-	NGA
MK117951	Homo sapiens	-	S	-	3307	-	NGA
MK117952	Homo sapiens	-	S	-	3445	-	NGA
MK117953	Homo sapiens	-	S	-	3102	-	NGA
MK117954	Homo sapiens	-	S	-	3163	-	NGA
MK117955	Homo sapiens	-	S	-	2788	-	NGA
MK117956	Homo sapiens	-	S	-	3386	-	NGA
MK117957	Homo sapiens	-	S	-	3152	-	NGA
MK117958	Homo sapiens	-	S	-	3373	-	NGA
MK117959	Homo sapiens	-	S	-	3376	-	NGA
MK117960	Homo sapiens	-	S	-	3409	-	NGA
MK117961	Homo sapiens	-	S	-	3367	-	NGA
MK117962	Homo sapiens	-	S	-	3399	-	NGA
MK117963	Homo sapiens	-	S	-	3406	-	NGA
MK117964	Homo sapiens	-	S	-	3399	-	NGA
MK117965	Homo sapiens	-	S	-	3130	-	NGA
MK117966	Homo sapiens	-	S	-	3363	-	NGA
MK117967	Homo sapiens	-	S	-	3381	-	NGA
MK117968	Homo sapiens	-	S	-	3407	-	NGA
MK117969	Homo sapiens	-	S	-	3182	-	NGA
MK117970	Homo sapiens	-	S	-	3400	-	NGA
MK117971	Homo sapiens	-	S	-	3368	-	NGA
MK117972	Homo sapiens	-	S	-	3399	-	NGA
MK117973	Homo sapiens	-	S	-	3394	-	NGA
MK117974	Homo sapiens	-	S	-	3327	-	NGA
MK117975	Homo sapiens	-	S	-	3410	-	NGA
MK117976	Homo sapiens	-	S	-	3367	-	NGA
MK117977	Homo sapiens	-	S	-	3392	-	NGA
MK117978	Homo sapiens	-	S	-	3136	-	NGA
MK117979	Homo sapiens	-	S	-	3389	-	NGA
MK117980	Homo sapiens	-	S	-	3402	-	NGA
MK117981	Homo sapiens	-	S	-	3161	-	NGA
MK117982	Homo sapiens	-	S	-	3398	-	NGA
MK117983	Homo sapiens	-	S	-	3398	-	NGA
MK117984	Homo sapiens	-	S	-	3339	-	NGA
MK117985	Homo sapiens	-	S	-	3401	-	NGA
MK117986	Homo sapiens	-	S	-	3396	-	NGA
MK117987	Homo sapiens	-	S	-	3398	-	NGA
MK117988	Homo sapiens	-	S	-	3161	-	NGA
MK117989	Homo sapiens	-	S	-	3258	-	NGA
MK117990	Homo sapiens	-	S	-	2924	-	NGA
MK117991	Homo sapiens	-	S	-	3398	-	NGA
MK117992	Homo sapiens	-	S	-	3416	-	NGA
MK117993	Homo sapiens	-	S	-	3337	-	NGA
MK117994	Homo sapiens	-	S	-	3399	-	NGA
MK117995	Homo sapiens	-	S	-	3398	-	NGA
MK117996	Homo sapiens	-	S	-	3397	-	NGA
MK117997	Homo sapiens	-	S	-	3392	-	NGA
MK117998	Homo sapiens	-	S	-	3384	-	NGA
MK117999	Homo sapiens	-	S	-	3398	-	NGA
MK118000	Homo sapiens	-	S	-	3406	-	NGA
MK118001	Homo sapiens	-	S	-	3358	-	NGA
MK118002	Homo sapiens	-	S	-	3383	-	NGA
MK118003	Homo sapiens	-	S	-	3348	-	NGA
MK118004	Homo sapiens	-	S	-	2489	-	NGA
MK118005	Homo sapiens	-	S	-	3036	-	NGA
MK118006	Homo sapiens	-	S	-	3108	-	NGA
MK118007	Homo sapiens	-	S	-	3407	-	NGA
MK118008	Homo sapiens	-	S	-	3360	-	NGA
MK118009	Homo sapiens	-	S	-	3398	-	NGA
MK118010	Homo sapiens	-	S	-	3329	-	NGA
MK118011	Homo sapiens	-	S	-	3373	-	NGA
MK118012	Homo sapiens	-	S	-	2881	-	NGA
MK118013	Homo sapiens	-	S	-	3261	-	NGA
MK118014	Homo sapiens	-	S	-	3356	-	NGA
MK118015	Homo sapiens	-	S	-	3315	-	NGA
MK118016	Homo sapiens	-	S	-	3398	-	NGA
MK118017	Homo sapiens	-	S	-	3385	-	NGA
MK118018	Homo sapiens	-	S	-	3410	-	NGA
MK118019	Homo sapiens	-	S	-	3370	-	NGA
MK118020	Homo sapiens	-	S	-	3384	-	NGA
MK118021	Homo sapiens	-	S	-	3401	-	NGA
MK118022	Homo sapiens	-	S	-	3388	-	NGA
MK118023	Homo sapiens	-	S	-	3210	-	NGA
MK118024	Homo sapiens	-	S	-	3387	-	NGA
MK118025	Homo sapiens	-	S	-	3384	-	NGA
MK118026	Homo sapiens	-	S	-	3374	-	NGA
MK118027	Homo sapiens	-	S	-	3403	-	NGA
MK118028	Homo sapiens	-	S	-	3403	-	NGA
MK118029	Homo sapiens	-	S	-	3375	-	NGA
MK118030	Homo sapiens	-	S	-	3402	-	NGA
MK118031	Homo sapiens	-	S	-	3389	-	NGA
MK118032	Homo sapiens	-	S	-	3282	-	NGA
MK118033	Homo sapiens	-	S	-	3384	-	NGA
MK118034	Homo sapiens	-	S	-	3284	-	NGA
MK118035	Homo sapiens	-	S	-	2838	-	NGA
MK118036	Homo sapiens	-	S	-	2939	-	NGA
MK118037	Homo sapiens	-	S	-	3248	-	NGA
MK118038	Homo sapiens	-	S	-	3243	-	NGA
MK118039	Homo sapiens	-	S	-	3060	-	NGA
MK281624	Homo sapiens	-	S	-	3181	-	NGA
MK281625	Homo sapiens	-	S	-	3151	-	NGA
MK281626	Homo sapiens	-	L	-	6952	-	NGA
MK281627	Homo sapiens	-	S	-	3245	-	NGA
MK281628	Homo sapiens	-	L	-	6980	-	NGA
MK281629	Homo sapiens	-	L	-	7112	-	NGA
MK281630	Homo sapiens	-	L	-	6940	-	NGA
MK281631	Homo sapiens	-	S	-	3072	-	NGA
MK291248	Homo sapiens	-	S	-	3292	-	NGA
MK291249	Homo sapiens	-	S	-	3352	-	NGA
MK291250	Homo sapiens	-	S	-	3396	-	NGA
MK291251	Homo sapiens	-	L	-	6714	-	NGA
MK291252	Homo sapiens	-	L	-	7182	-	NGA
MK291253	Homo sapiens	-	L	-	7244	-	NGA
MS811606	-	-	-	-	1710	TRUE	-
NC_004296	-	2916333	S	Josiah	3402	-	-
NC_004297	-	9281522	L	Josiah	7279	-	-
U63094	-	9049403	-	Josiah	6842	-	-
U73034	-	9281522	-	-	7279	-	-
U73035	-	-	-	-	5465	-	-
U80004	-	9417890	-	LP	626	-	-
X52400	-	2042397	-	GA391	3417	-	-
NC_004296	-	2916333	S	Josiah	3402	-	-
NC_004297	-	9281522	L	Josiah	7279	-	-
